Year,Country Name,CO2 emissions (kt),GDP per unit of energy use (PPP $ per kg of oil equivalent),"Electricity production from oil, gas and coal sources (% of total)",Electricity production from oil sources (% of total),Energy use (kg of oil equivalent per capita),"Population, total"
1990,China,2173364.2,1.279563473,79.59206011,8.106968329,766.9953294,1135185000
1990,Japan,1090508.1,5.604646553,54.85773422,21.81141175,3552.858582,123478000
1990,United States,4844517.4,3.113830376,69.06322661,4.079195382,7671.773066,249623000
1990,Canada,419492.2,2.651312075,22.47568153,3.416306912,7630.092306,27691138
1990,Germany,955307.7,4.402176865,68.01752944,1.898475304,4421.364531,79433029
1990,Italy,405262,7.213250402,83.59958151,48.19162362,2583.888077,56719240
2000,China,3346525.8,3.245031923,82.12597124,3.486514356,898.9873131,1262645000
2000,Japan,1184424.9,6.681781281,58.02248339,13.22755796,4083.831697,126843000
2000,United States,5775807.2,4.509193248,71.59345088,2.943005078,8056.86385,282162411
2000,Canada,514215.1,3.552546912,26.77378979,1.8297677,8265.079925,30685730
2000,Germany,830284.1,6.644819808,63.15460246,0.836080956,4094.06036,82211508
2000,Italy,436296.6,8.989335927,80.67022053,31.81361853,3012.195,56942108
2010,China,8474922.7,4.734574518,79.40102506,0.353949915,1954.722556,1337705000
2010,Japan,1157241.8,9.076022041,61.97064375,6.868561765,3893.266604,128070000
2010,United States,5392109.4,6.793429044,70.27776508,1.104317669,7161.426552,309327143
2010,Canada,537091.5,5.148505525,23.08000583,1.295010731,7788.560786,34004889
2010,Germany,773069.1,9.744792829,59.45724669,1.395026676,3997.079421,81776930
2010,Italy,405272.3,11.99645331,73.26164011,7.267724995,2930.588524,59277417
2011,China,9282553.7,4.936465537,81.1740028,0.257818456,2085.083022,1345035000
2011,Japan,1213775.6,10.02944437,73.82950187,10.62106697,3610.812169,127833000
2011,United States,5173591.2,7.121805096,68.41785822,0.913504375,7029.954601,311583481
2011,Canada,549369.9,5.26656388,22.54393216,1.03721072,7911.554588,34339328
2011,Germany,746477.3,10.99316571,60.40087084,1.179458128,3869.816229,80274983
2011,Italy,396687.4,12.93945399,71.36984114,6.614046992,2828.404891,59379449
2012,China,9540539.7,5.195703363,77.85989297,0.21940999,2149.602569,1354190000
2012,Japan,1254319.4,10.63107531,81.14717328,12.7065052,3537.36317,127629000
2012,United States,4956053,7.535537395,68.86283964,0.774312765,6872.027284,313877662
2012,Canada,546291.6,5.468603936,21.42461097,1.088194317,7733.411655,34714222
2012,Germany,760127.7,11.18395544,59.68113795,1.222828265,3876.948104,80425823
2012,Italy,376747.2,13.46706802,67.96480299,6.353894073,2709.297728,59539717
2013,China,9979128,5.386200964,77.42446658,0.184178729,2204.243299,1363240000
2013,Japan,1267376.2,11.04431576,81.59735363,10.20333816,3567.629354,127445000
2013,United States,5092097.2,7.717090222,67.82464847,0.859739209,6905.598633,316059947
2013,Canada,555742.4,5.720576917,20.76934062,1.167088817,7743.725742,35082954
2013,Germany,776151.8,11.42113342,59.23832245,1.137223613,3939.529563,80645605
2013,Italy,346458.3,14.07834218,60.03633092,5.377393551,2579.472543,60233948
2014,China,10021043.4,5.610767661,74.82288737,0.167974379,2224.354898,1371860000
2014,Japan,1217306.6,11.39674779,82.79272981,8.53586006,3470.763129,127276000
2014,United States,5107208.6,7.919315087,67.46195321,0.923259081,6960.683997,318386329
2014,Canada,561760.5,5.793186503,20.76312543,1.24248521,7897.855615,35437435
2014,Germany,736011.7,12.43868891,56.7323431,0.909897771,3779.461921,80982500
2014,Italy,327498,14.99072841,55.4890765,5.092479397,2414.484002,60789140
2015,China,9859281.2,0,72.96207597,0.165618383,0,1379860000
2015,Japan,1178349.1,11.92886815,80.25937295,7.51942013,3428.557216,127141000
2015,United States,4990703.7,8.342556989,67.07870147,0.90380652,6803.996607,320738994
2015,Canada,558747.2,5.853502969,21.06717953,1.214777708,7631.34157,35702908
2015,Germany,742314.4,12.47129397,55.06305317,0.968692616,3817.549415,81686611
2015,Italy,337862.1,14.86826479,60.24676625,4.753482359,2481.754645,60730582
,,,,,,,
,,,,,,,
,,,,,,,
Data from database: World Development Indicators,,,,,,,
Last Updated: 12/18/2023,,,,,,,
